"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Cost","Sale Price","Margin"
"210000001734","","","","","Who Stole the Cookie (2014) NIS","1","$0.01","$0.01","$19.95","99.95%"
"210000001837","","","","","Legends of Robin Hood Board game 1991","1","$1.00","$1.00","$59.00","98.31%"
"210000001838","","","","","Tee Off on Golf (1994) NIS","1","$0.01","$0.01","$34.95","99.97%"
"210000001839","","","","","A Bug's Life: Topple Hopper 3-D Game (1998) NIS","1","$0.01","$0.01","$39.95","99.97%"
"210000001840","","","","","S'Erum, Ophidian Sydion (2006) NIS","1","$0.01","$0.01","$64.95","99.98%"
"210000001841","","","","","Valley of the Mammoths (1991) NIS","2","$0.02","$0.01","$99.95","99.99%"
"210000001842","","","","","Tikal (1999) NIS","1","$0.01","$0.01","$54.95","99.98%"
"210000001843","","","","","Die Seidenstraße (1998) NIS","1","$0.01","$0.01","$39.95","99.97%"
"210000001844","","","","","Super Stars Football: Premiere Edition (2000) NIS","3","$0.03","$0.01","$19.95","99.95%"
"210000001845","","","","","Real Vegas (2005) NIS","1","$0.01","$0.01","$49.95","99.98%"
"210000001846","","","","","The All Canadian Trivia Board Game: Millennium Edition (1999) NIS","1","$0.01","$0.01","$29.95","99.97%"
"210000001847","","","","","GoVenture Card Game: Entrepreneur (2007)","1","$0.01","$0.01","$24.95","99.96%"
"210000001848","","","","","Lotus (2016) NIS","1","$0.01","$0.01","$24.95","99.96%"
"210000001849","","","","","Quao (2007)","1","$0.01","$0.01","$19.95","99.95%"
"210000001850","","","","","Paparazzo (1994) NIS","1","$0.01","$0.01","$19.95","99.95%"
"210000001851","","","","","BackRound (2002)","1","$0.01","$0.01","$24.95","99.96%"
"210000001852","","","","","Wordariffic (2015) NIS","1","$0.01","$0.01","$19.95","99.95%"
"210000001853","","","","","Biblios (2007)","1","$0.01","$0.01","$49.95","99.98%"
"210000001854","","","","","Mummy Rummy (1994)","2","$0.02","$0.01","$9.95","99.9%"
"210000001855","","","","","Trivial Pursuit: DVD – Pop Culture Game (2003)","1","$0.01","$0.01","$9.95","99.9%"
"210000001856","","","","","Mauerhüpfer (2014) NIS","1","$0.01","$0.01","$69.95","99.99%"
"210000001857","","","","","T.I.M.E Stories: Brotherhood of the Coast (2018) (nis)","1","$0.01","$0.01","$24.95","99.96%"
"210000001858","","","","","Alienz (2004) NIS","1","$0.01","$0.01","$19.95","99.95%"
"210000001859","","","","","Bedlamb (2014) NIS","1","$0.01","$0.01","$19.95","99.95%"
"210000001860","","","","","Trivial Pursuit: X (2017) NIS","2","$0.02","$0.01","$19.95","99.95%"
"210000001861","","","","","3 Monkeys (2015)","1","$0.01","$0.01","$19.95","99.95%"
"210000001862","","","","","Black Stories 2 (2005) NIS","1","$0.01","$0.01","$9.95","99.9%"
"210000001863","","","","","Crisis: Tokyo (2013) NIS","1","$0.01","$0.01","$19.95","99.95%"
"210000001864","","","","","12 Days (2011)","1","$0.01","$0.01","$9.95","99.9%"
"210000001865","","","","","Theories: it's a game (2005) NIS","1","$0.01","$0.01","$24.95","99.96%"
"210000001866","","","","","Streams (2011)","1","$0.01","$0.01","$19.95","99.95%"
"210000001867","","","","","Yum Poker (2009) NIS","1","$0.01","$0.01","$19.95","99.95%"
"210000001868","","","","","Senjutsu: Dynamic Samurai Combat (2003) NIS","1","$0.01","$0.01","$19.95","99.95%"
"210000001870","","","","","X-Machina (2003) NIS","1","$0.01","$0.01","$19.95","99.95%"
"210000001871","","","","","Saucy Charades (2004) NIS","1","$0.00","$0.00","$19.95","100%"
"210000001872","","","","","Ys (2005) NIS","1","$0.01","$0.01","$34.95","99.97%"
"210000001873","","","","","Screaming Eagles (1987) NIS","3","$0.03","$0.01","$49.95","99.98%"
"210000001874","","","","","Screaming Eagles (1987)","1","$0.01","$0.01","$24.95","99.96%"
"210000001876","","","","","Chaos in the Old World  (Consignment)","1","$0.01","$0.01","$185.00","99.99%"
"210000001878","","","","","PLOTT Adventures in Space board game","1","$0.01","$0.01","$19.00","99.95%"
"210000001879","857143000011","","","","Wall Street Spin Board Games ( NIS)","1","$0.01","$0.01","$29.00","99.97%"
"210000001880","655132003773","","","","Fast Flowing Forest Fellers board game NIS","1","$0.01","$0.01","$24.00","99.96%"
"210000001882","","","","","Battlemist Board Game The Stars of Timorran NIS 1998","1","$0.01","$0.01","$79.00","99.99%"
"210000001884","","","","G101CT17","CASHFLOW Investing 101 Board game used (2002)","1","$6.00","$6.00","$44.95","86.65%"
"210000001886","9781616617172","","","","Blood Bound Board Game Used (2013)","1","$0.01","$0.01","$9.95","99.9%"
"210000001890","3558380009078","","","","Bakong Used board game (2009)","1","$0.01","$0.01","$12.95","99.92%"
"210000001900","","","","","Battlemist Board Game The Stars of Timorran NIS   (1998)","1","$0.01","$0.01","$69.95","99.99%"
"210000001913","824968823958","","","7695","Battlelore Board Game Expansion Call to Arms NIS","5","$0.05","$0.01","$19.95","99.95%"
"210000001915","","","","","Gourmet Challenge Wine/Food Trivia game 1984 Contents Unopened","1","$0.01","$0.01","$59.95","99.98%"
"210000002054","07300000045","","","","Clue Used Board Game (2002)","1","$0.01","$0.01","$9.95","99.9%"
"210000002148","699788109212","","","","Warrior Knights Used Board Game (2006)","1","$0.01","$0.01","$36.95","99.97%"
"210000002233","","","","","Slang Teasers 2nd Edition (1984) (Green box)","1","$0.01","$0.01","$24.95","99.96%"
"210000002283","01884710030","","","","Imperium Romanum II (1985) (unpunched board game )","1","$0.01","$0.01","$74.95","99.99%"
"210000002433","032244041136","","","","Guesstures Used Board Game (1999)","1","$2.00","$2.00","$19.95","89.97%"
"210000002450","008636200014","","","","Empires of the Ancient World (2000), NIS","1","$0.01","$0.01","$84.95","99.99%"
"210000002459","","","","","Smokers Wild (1978) (B)","1","$0.01","$0.01","$29.95","99.97%"
